,2017rank,City,State[c],2017estimate,2010 Census,Change,2016 land area(sq m),2016 land area(sq km),2016 population density(per sq mi),2016 population density(per sq km),Location,City_urls,Elevation,Timezone
284,284,Boulder,Colorado,107353,97385,+10.24%,24.8 sq mi,64.2 km2,"4,358/sq mi","1,683/km2",40°01′37″N 105°15′07″W﻿ / ﻿40.0270°N 105.2519°W,"https://en.wikipedia.org//wiki/Boulder,_Colorado","5,328 ft (1,624 m)",UTC-7 (MST)
285,285,Greeley,Colorado,107348,92889,+15.57%,47.8 sq mi,123.8 km2,"2,176/sq mi",840/km2,40°24′55″N 104°46′11″W﻿ / ﻿40.4153°N 104.7697°W,"https://en.wikipedia.org//wiki/Greeley,_Colorado","4,675 ft (1,425 m)",UTC−7 (MST)
286,286,Daly City,California,107008,101123,+5.82%,7.6 sq mi,19.7 km2,"14,009/sq mi","5,409/km2",37°42′03″N 122°27′54″W﻿ / ﻿37.7009°N 122.4650°W,"https://en.wikipedia.org//wiki/Daly_City,_California",344 ft (105 m),UTC−8 (Pacific)
287,287,Meridian,Idaho,106804,75092,+42.23%,29.8 sq mi,77.2 km2,"3,584/sq mi","1,384/km2",43°36′51″N 116°23′56″W﻿ / ﻿43.6142°N 116.3989°W,"https://en.wikipedia.org//wiki/Meridian,_Idaho","2,605 ft (794 m)",UTC−7 (Mountain)
288,288,Lewisville,Texas,106586,95290,+11.85%,36.7 sq mi,95.1 km2,"2,852/sq mi","1,101/km2",33°02′48″N 96°58′54″W﻿ / ﻿33.0466°N 96.9818°W,"https://en.wikipedia.org//wiki/Lewisville,_Texas",525 ft (170 m),UTC−6 (Central)
289,289,Davie,Florida,106558,91992,+15.83%,34.9 sq mi,90.4 km2,"2,919/sq mi","1,127/km2",26°04′45″N 80°17′06″W﻿ / ﻿26.0791°N 80.2850°W,"https://en.wikipedia.org//wiki/Davie,_Florida",9 ft (1 m),UTC-5 (EST)
290,290,West Covina,California,106311,106098,+0.20%,16.0 sq mi,41.4 km2,"6,740/sq mi","2,600/km2",34°03′21″N 117°54′36″W﻿ / ﻿34.0559°N 117.9099°W,"https://en.wikipedia.org//wiki/West_Covina,_California",384 ft (117 m),UTC−8 (PST)
291,291,League City,Texas,106244,83560,+27.15%,51.2 sq mi,132.6 km2,"1,992/sq mi",769/km2,29°29′24″N 95°06′33″W﻿ / ﻿29.4901°N 95.1091°W,"https://en.wikipedia.org//wiki/League_City,_Texas",20 ft (6 m),UTC-6 (Central (CST))
292,292,Tyler,Texas,105729,96900,+9.11%,56.6 sq mi,146.6 km2,"1,852/sq mi",715/km2,32°19′02″N 95°18′21″W﻿ / ﻿32.3173°N 95.3059°W,"https://en.wikipedia.org//wiki/Tyler,_Texas",544 ft (165 m),UTC−6 (Central)
293,293,Norwalk,California,105120,105549,−0.41%,9.7 sq mi,25.1 km2,"10,946/sq mi","4,226/km2",33°54′27″N 118°05′01″W﻿ / ﻿33.9076°N 118.0835°W,"https://en.wikipedia.org//wiki/Norwalk,_California",92 ft (28 m),UTC−8 (Pacific)
294,294,San Mateo,California,105025,97207,+8.04%,12.1 sq mi,31.3 km2,"8,592/sq mi","3,317/km2",37°33′37″N 122°18′38″W﻿ / ﻿37.5603°N 122.3106°W,"https://en.wikipedia.org//wiki/San_Mateo,_California",46 ft (14 m),UTC−8 (Pacific)
295,295,Green Bay,Wisconsin,104879,104057,+0.79%,45.4 sq mi,117.6 km2,"2,316/sq mi",894/km2,44°31′15″N 87°59′03″W﻿ / ﻿44.5207°N 87.9842°W,"https://en.wikipedia.org//wiki/Green_Bay,_Wisconsin",581 ft (177 m),UTC−6 (Central)
296,296,Wichita Falls,Texas,104576,104553,+0.02%,72.2 sq mi,187.0 km2,"1,450/sq mi",560/km2,33°54′24″N 98°31′33″W﻿ / ﻿33.9067°N 98.5259°W,"https://en.wikipedia.org//wiki/Wichita_Falls,_Texas",948 ft (289 m),UTC−6 (CST)
297,297,Sparks,Nevada,104246,90264,+15.49%,35.9 sq mi,93.0 km2,"2,810/sq mi","1,080/km2",39°33′16″N 119°44′08″W﻿ / ﻿39.5544°N 119.7356°W,"https://en.wikipedia.org//wiki/Sparks,_Nevada","4,413 ft (1,345 m)",UTC−8 (PST)
298,298,Lakewood,New Jersey,104157,92843,+12.19%,24.7 sq mi,64.0 km2,"4,079/sq mi","1,575/km2",40°04′38″N 74°12′01″W﻿ / ﻿40.0771°N 74.2004°W,"https://en.wikipedia.org//wiki/Lakewood_Township,_New_Jersey",49 ft (15 m),UTC-5 (Eastern (EST))
299,299,Burbank,California,103695,103340,+0.34%,17.4 sq mi,45.1 km2,"6,003/sq mi","2,318/km2",34°11′24″N 118°19′35″W﻿ / ﻿34.1901°N 118.3264°W,"https://en.wikipedia.org//wiki/Burbank,_California",607 ft (185 m),UTC−8 (Pacific)
300,300,Rialto,California,103440,99171,+4.30%,22.3 sq mi,57.8 km2,"4,633/sq mi","1,789/km2",34°06′42″N 117°23′18″W﻿ / ﻿34.1118°N 117.3883°W,"https://en.wikipedia.org//wiki/Rialto,_California","1,257 ft (383 m)",UTC−8 (Pacific Time Zone)
301,301,Allen,Texas,103383,84246,+22.72%,27.1 sq mi,70.2 km2,"3,715/sq mi","1,434/km2",33°05′59″N 96°39′47″W﻿ / ﻿33.0997°N 96.6631°W,"https://en.wikipedia.org//wiki/Allen,_Texas",659 ft (201 m),UTC-6 (CST)
302,302,El Cajon,California,103241,99478,+3.78%,14.5 sq mi,37.6 km2,"7,156/sq mi","2,763/km2",32°48′06″N 116°57′37″W﻿ / ﻿32.8017°N 116.9604°W,"https://en.wikipedia.org//wiki/El_Cajon,_California",433 ft (132 m),UTC−8 (Pacific)
303,303,Las Cruces,New Mexico,102926,97618,+5.44%,76.9 sq mi,199.2 km2,"1,323/sq mi",511/km2,32°19′35″N 106°47′23″W﻿ / ﻿32.3264°N 106.7897°W,"https://en.wikipedia.org//wiki/Las_Cruces,_New_Mexico","3,900 ft (1,200 m)",UTC-7 (Mountain)
304,304,Renton,Washington,102153,90927,+12.35%,23.4 sq mi,60.6 km2,"4,314/sq mi","1,666/km2",47°28′34″N 122°11′31″W﻿ / ﻿47.4761°N 122.1920°W,"https://en.wikipedia.org//wiki/Renton,_Washington",46–410 ft (14–125 m),UTC−8 (PST)
305,305,Davenport,Iowa,102085,99685,+2.41%,62.9 sq mi,162.9 km2,"1,631/sq mi",630/km2,41°33′15″N 90°36′14″W﻿ / ﻿41.5541°N 90.6040°W,"https://en.wikipedia.org//wiki/Davenport,_Iowa",580 ft (180 m),UTC−6 (CST)
306,306,South Bend,Indiana,101860,101168,+0.68%,41.4 sq mi,107.2 km2,"2,457/sq mi",949/km2,41°40′37″N 86°16′08″W﻿ / ﻿41.6769°N 86.2690°W,"https://en.wikipedia.org//wiki/South_Bend,_Indiana",692 ft (211 m),UTC−5 (EST)
307,307,Vista,California,101224,93834,+7.88%,18.7 sq mi,48.4 km2,"5,436/sq mi","2,099/km2",33°11′22″N 117°14′19″W﻿ / ﻿33.1895°N 117.2386°W,"https://en.wikipedia.org//wiki/Vista,_California",325 ft (99 m),UTC−8 (Pacific Time Zone)
308,308,Tuscaloosa,Alabama,101113,90468,+11.77%,71.7 sq mi,185.7 km2,"1,399/sq mi",540/km2,33°12′23″N 87°32′05″W﻿ / ﻿33.2065°N 87.5346°W,"https://en.wikipedia.org//wiki/Tuscaloosa,_Alabama",222 ft (68 m),UTC−6 (CST)
309,309,Clinton,Michigan,100800,96796,+4.14%,28.1 sq mi,72.8 km2,"3,573/sq mi","1,380/km2",42°35′25″N 82°55′01″W﻿ / ﻿42.5903°N 82.9170°W,"https://en.wikipedia.org//wiki/Clinton_Township,_Macomb_County,_Michigan",876 ft (267 m),UTC-5 (Eastern (EST))
310,310,Edison,New Jersey,100693,99967,+0.73%,30.1 sq mi,78.0 km2,"3,389/sq mi","1,309/km2",40°30′14″N 74°20′58″W﻿ / ﻿40.5040°N 74.3494°W,"https://en.wikipedia.org//wiki/Edison,_New_Jersey",39 ft (12 m),UTC−5 (Eastern (EST))
311,311,Woodbridge,New Jersey,100450,99585,+0.87%,23.3 sq mi,60.3 km2,"4,351/sq mi","1,680/km2",40°33′39″N 74°17′34″W﻿ / ﻿40.5607°N 74.2927°W,"https://en.wikipedia.org//wiki/Woodbridge_Township,_New_Jersey",18 m (59 ft),UTC−5 (Eastern (EST))
312,312,San Angelo,Texas,100215,93200,+7.53%,59.9 sq mi,155.1 km2,"1,681/sq mi",649/km2,31°26′28″N 100°27′02″W﻿ / ﻿31.4411°N 100.4505°W,"https://en.wikipedia.org//wiki/San_Angelo,_Texas","1,844 ft (562 m)",UTC−6 (CST)
313,313,Kenosha,Wisconsin,100164,99218,+0.95%,28.0 sq mi,72.5 km2,"3,577/sq mi","1,381/km2",42°34′56″N 87°50′44″W﻿ / ﻿42.5822°N 87.8456°W,"https://en.wikipedia.org//wiki/Kenosha,_Wisconsin",604 ft (184 m),UTC−6 (CST)
314,314,Vacaville,California,100154,92428,+8.36%,29.0 sq mi,75.1 km2,"3,449/sq mi","1,332/km2",38°21′14″N 121°58′22″W﻿ / ﻿38.3539°N 121.9728°W,"https://en.wikipedia.org//wiki/Vacaville,_California",174 ft (53 m),UTC−8 (Pacific)
